"date","hourly","txid","iso_symbol","time","value","currency","open","USD_value","EUR","USD","GBP","SGD","EUR_value","GBP_value","SGD_value","high.dt","time.dev.h"
2021-04-26,2021-04-26 20:00:00,"88D3A29A67ADEE9C529C02B64F9ACD0A8D264A6D83DCF5A449A09A4DBA5B5C65","XRP",2021-04-26 20:27:40,66.2496,"XRP",1.2486,82.71925056,0.82778,1.00003,0.71968,1.32581,68.4733412285568,59.5313902430208,109.670009584954,2021-04-16 01:00:00,10.7916666666667
2021-04-26,2021-04-26 20:00:00,"D1025CA0758ADEA62DE2FAFFB6D09F8F52A890302DCFCF87355658D16FEF454D","XRP",2021-04-26 19:53:00,112,"XRP",1.2486,139.8432,0.82778,1.00003,0.71968,1.32581,115.759404096,100.642354176,185.405512992,2021-04-16 01:00:00,10.7916666666667
2021-04-26,2021-04-26 21:00:00,"B299BC6D335DCE5D4218C03D4E5AFB061BB05CB38804FB3195C2BDCCC7798792","XRP",2021-04-26 21:11:41,123.56,"XRP",1.28251,158.4669356,0.82778,1.00003,0.71968,1.32581,131.175759950968,114.045484212608,210.097047887836,2021-04-16 01:00:00,10.8333333333333
2021-04-26,2021-04-26 22:00:00,"10753078D7C6E50724F89F1D22F6F735EA20A7267E2CFF509902A3A456475FD8","XRP",2021-04-26 21:56:40,153.2,"XRP",1.34447,205.972804,0.82778,1.00003,0.71968,1.32581,170.50016769512,148.23450758272,273.08080327124,2021-04-16 01:00:00,10.875
2021-04-26,2021-04-26 22:00:00,"114B9B0FB67078FCFEEB3427CCE49D6714F7115A5E37BDB3756F0A42A590C5B1","XRP",2021-04-26 22:05:21,149.1496,"XRP",1.34447,200.527162712,0.82778,1.00003,0.71968,1.32581,165.992374749739,144.315388460572,265.860917595197,2021-04-16 01:00:00,10.875
2021-04-26,2021-04-26 22:00:00,"5456B2A05C6B6D0CD07D0EB6CF57EEC655B36C817F5E4FB0D0AB0E9A2792C74C","XRP",2021-04-26 22:26:01,46.9208,"XRP",1.34447,63.083607976,0.82778,1.00003,0.71968,1.32581,52.2193490103733,45.4000109881677,83.6368782906606,2021-04-16 01:00:00,10.875
2021-04-26,2021-04-26 22:00:00,"EF0A97FD0A9AA1B0F5C47BEC11ED116269CAF72438D64E558CD2BC526CFFA864","XRP",2021-04-26 22:03:30,1691.8664,"XRP",1.34447,2274.663618808,0.82778,1.00003,0.71968,1.32581,1882.92105037689,1637.02991318374,3015.77177245183,2021-04-16 01:00:00,10.875
2021-04-26,2021-04-26 23:00:00,"077CFA6276C89810DFC627F6204972D7E2F195CCF8A09D8298DE035B28F586F0","XRP",2021-04-26 22:58:11,151.5152,"XRP",1.34586,203.918247072,0.82778,1.00003,0.71968,1.32581,168.79944656126,146.755884052777,270.356851150528,2021-04-16 01:00:00,10.9166666666667
2021-04-26,2021-04-26 23:00:00,"C0170EAA9D3589675EB3D71F04627AC3F5405A56D4B24E430161181B526D012E","XRP",2021-04-26 23:12:00,120.94,"XRP",1.34586,162.7683084,0.82778,1.00003,0.71968,1.32581,134.736350327352,117.141096189312,215.799850959804,2021-04-16 01:00:00,10.9166666666667
2021-04-26,2021-04-27 01:00:00,"11FCC11E0F1DAEEB5D1DF7C77A459B0B228C2AA51EB1B692F35B93BE694095DD","XRP",2021-04-27 00:32:01,324.2032,"XRP",1.29356,419.376291392,0.82778,1.00003,0.71968,1.32581,347.15130648847,301.816729388995,556.013280890427,2021-04-16 01:00:00,11
2021-04-26,2021-04-27 01:00:00,"3759E0559230B63EE649B5AB1CFA0A5E770E253FBBDD51E519BD05C9CDDAC745","XRP",2021-04-27 01:02:42,144.6324,"XRP",1.29356,187.090687344,0.82778,1.00003,0.71968,1.32581,154.869929169616,134.64542586773,248.046704187549,2021-04-16 01:00:00,11
2021-04-26,2021-04-27 02:00:00,"A163B98D441921F701CEDA623518D29FEB813980D5D2307D821D17E1893A264B","XRP",2021-04-27 01:53:41,95.463228,"XRP",1.31258,125.30312380824,0.82778,1.00003,0.71968,1.32581,103.723419825985,90.1781521423142,166.128134576203,2021-04-16 01:00:00,11.0416666666667
2021-04-27,2021-04-27 03:00:00,"5D1C6A8E2C1A723B4841CB10F3C0FBD311A6509A743886041894D3843F8B7F43","XRP",2021-04-27 03:07:42,138.2104,"XRP",1.36559,188.738740136,0.8272,1.00003,0.71928,1.32627,156.124685840499,135.756001005022,250.318528880173,2021-04-16 01:00:00,11.0833333333333
2021-04-27,2021-04-27 03:00:00,"9F9357E2633F5EB19F175EA6BF785ECA38378140A68CE2A73B7FFE10974DF339","XRP",2021-04-27 03:00:11,187.5712,"XRP",1.36559,256.145355008,0.8272,1.00003,0.71928,1.32627,211.883437662618,184.240230950154,339.71789998646,2021-04-16 01:00:00,11.0833333333333
2021-04-27,2021-04-27 04:00:00,"1CF40366F10853E5DCC6872CEFA6D487B08BE008D0E6EBA046C8D1013FE208FC","XRP",2021-04-27 03:59:32,2548.8332,"XRP",1.36663,3483.311916116,0.8272,1.00003,0.71928,1.32627,2881.39561701116,2505.47659502392,4619.81209498717,2021-04-16 01:00:00,11.125
2021-04-27,2021-04-27 04:00:00,"2BF964762E08AFC014D1A9748C5C349A2DE77FF72EE3BAD2745EE89580EFFC38","XRP",2021-04-27 04:16:32,610.62358,"XRP",1.36663,834.4965031354,0.8272,1.00003,0.71928,1.32627,690.295507393603,600.236644775231,1106.76767721339,2021-04-16 01:00:00,11.125
